    PID TTY          TIME CMD
    246 ?        00:00:05 kworker/4:1H-events_highpri
    247 ?        00:00:14 kworker/13:1H-events_highpri
    248 ?        00:00:04 kworker/15:1H-events_highpri
    249 ?        00:00:08 kworker/14:1H-events_highpri
    250 ?        00:00:01 kworker/16:1H-events_highpri
    251 ?        00:00:17 kworker/10:1H-events_highpri
    252 ?        00:00:00 kworker/18:1H-events_highpri
    255 ?        00:00:00 kworker/17:1H-events_highpri
    256 ?        00:00:00 kworker/3:1H-events_highpri
    263 ?        00:00:16 kworker/8:1H-events_highpri
    265 ?        00:00:05 kworker/7:1H-events_highpri
    280 ?        00:00:00 nvme-wq
    282 ?        00:00:00 nvme-reset-wq
    283 ?        00:00:00 nvme-delete-wq
    284 ?        00:00:00 nvme-auth-wq
    317 ?        00:00:04 irq/189-VEN_06CB:00
    322 ?        00:00:00 USBC000:00-con1
    327 ?        00:00:00 USBC000:00-con2
    348 ?        00:00:18 jbd2/nvme0n1p2-8
    349 ?        00:00:00 ext4-rsv-conver
    392 ?        00:00:04 systemd-journal
    424 ?        00:00:03 systemd-udevd
    558 ?        00:00:00 cfg80211
    563 ?        00:00:00 irq/191-mei_me
    606 ?        00:03:34 systemd-oomd
    608 ?        00:00:14 systemd-resolve
    610 ?        00:00:00 systemd-timesyn
    612 ?        00:00:00 irq/196-iwlwifi:default_queue
    614 ?        00:00:00 irq/197-iwlwifi:queue_1
    615 ?        00:00:00 irq/198-iwlwifi:queue_2
    616 ?        00:00:00 irq/199-iwlwifi:queue_3
    617 ?        00:00:00 irq/200-iwlwifi:queue_4
    618 ?        00:00:00 irq/201-iwlwifi:queue_5
    619 ?        00:00:00 irq/202-iwlwifi:queue_6
    620 ?        00:00:00 irq/203-iwlwifi:queue_7
    621 ?        00:00:00 irq/204-iwlwifi:queue_8
    622 ?        00:00:00 irq/205-iwlwifi:queue_9
    623 ?        00:00:00 irq/206-iwlwifi:queue_10
    624 ?        00:00:00 irq/207-iwlwifi:queue_11
    625 ?        00:00:00 irq/208-iwlwifi:queue_12
    626 ?        00:00:00 irq/209-iwlwifi:queue_13
    627 ?        00:00:00 irq/210-iwlwifi:queue_14
    628 ?        00:00:00 irq/211-iwlwifi:exception
    721 ?        00:00:00 nv_queue
    722 ?        00:00:00 nv_queue
    723 ?        00:00:00 ttm
    724 ?        00:00:00 card0-crtc0
    725 ?        00:00:00 card0-crtc1
    726 ?        00:00:00 card0-crtc2
    727 ?        00:00:00 card0-crtc3
    742 ?        00:00:00 cryptd
    743 ?        00:00:00 nvidia-modeset/kthread_q
    744 ?        00:00:00 nvidia-modeset/deferred_close_kthread_q
    760 ?        00:00:04 accounts-daemon
    761 ?        00:00:02 acpid
    768 ?        00:00:04 avahi-daemon
    769 ?        00:00:00 bluetoothd
    771 ?        00:00:00 cron
